,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
622,1151074,78,Entire home/apt,1.0,1.0,1.0,Real Bed
623,1151745,150,Entire home/apt,2.0,3.0,1.0,Real Bed
624,1155595,125,Entire home/apt,2.0,3.0,1.0,Real Bed
625,1155851,110,Entire home/apt,2.0,4.0,1.0,Real Bed
626,1158389,90,Entire home/apt,1.0,1.0,1.0,Real Bed
627,1162814,110,Entire home/apt,1.0,1.0,1.0,Real Bed
628,1164310,95,Entire home/apt,1.0,2.0,1.5,Real Bed
629,1170890,70,Private room,1.0,1.0,1.0,Real Bed
630,1170898,250,Entire home/apt,2.0,2.0,1.0,Real Bed
631,1171209,160,Entire home/apt,2.0,3.0,1.0,Real Bed
632,1174266,149,Entire home/apt,1.0,1.0,1.0,Real Bed
633,1175330,109,Entire home/apt,3.0,3.0,1.0,Real Bed
634,1175330,89,Private room,1.0,3.0,1.0,Real Bed
635,1176129,135,Entire home/apt,2.0,2.0,1.5,Real Bed
636,1176934,125,Entire home/apt,2.0,2.0,1.0,Real Bed
637,1178877,135,Entire home/apt,1.0,3.0,1.0,Real Bed
638,1179621,399,Entire home/apt,4.0,4.0,2.0,Real Bed
639,1189015,100,Entire home/apt,1.0,1.0,1.0,Real Bed
640,1193515,87,Entire home/apt,2.0,2.0,1.0,Real Bed
641,1199796,99,Entire home/apt,1.0,2.0,1.0,Real Bed
642,1200117,119,Entire home/apt,2.0,2.0,1.0,Real Bed
643,1201101,90,Entire home/apt,1.0,1.0,1.0,Real Bed
644,1202899,109,Entire home/apt,0.0,1.0,1.0,Real Bed
645,1210580,65,Private room,1.0,2.0,1.0,Real Bed
646,1210580,80,Private room,1.0,1.0,1.0,Real Bed
647,1210580,55,Private room,1.0,2.0,1.0,Real Bed
648,1211966,100,Entire home/apt,1.0,1.0,1.0,Real Bed
649,1217378,60,Entire home/apt,1.0,1.0,1.0,Real Bed
650,1218273,150,Entire home/apt,2.0,4.0,0.0,Real Bed
651,1218273,150,Entire home/apt,2.0,4.0,1.0,Real Bed
652,1221263,109,Entire home/apt,1.0,1.0,1.0,Real Bed
653,1221398,38,Private room,1.0,1.0,1.5,Real Bed
654,1222312,135,Entire home/apt,1.0,1.0,1.0,Real Bed
655,1223927,85,Entire home/apt,1.0,1.0,1.0,Real Bed
656,1228646,85,Entire home/apt,2.0,2.0,1.0,Real Bed
657,1230422,220,Entire home/apt,2.0,2.0,1.0,Real Bed
658,1230422,120,Private room,1.0,1.0,1.0,Real Bed
659,1232538,89,Entire home/apt,1.0,2.0,1.0,Real Bed
660,1232843,79,Entire home/apt,1.0,1.0,0.5,Real Bed
661,1232843,79,Private room,1.0,1.0,1.0,Pull-out Sofa
662,1233441,100,Entire home/apt,2.0,2.0,1.0,Real Bed
663,1233441,40,Private room,1.0,1.0,1.0,Real Bed
664,1238074,175,Entire home/apt,1.0,1.0,1.5,Real Bed
665,1240786,70,Private room,1.0,1.0,1.0,Real Bed
666,1242960,300,Entire home/apt,2.0,4.0,1.0,Real Bed
667,1242960,220,Entire home/apt,2.0,2.0,1.0,Real Bed
668,1242960,220,Entire home/apt,2.0,2.0,1.0,Real Bed
669,1242960,200,Private room,1.0,2.0,1.0,Real Bed
670,1242960,220,Private room,1.0,2.0,1.0,Real Bed
671,1242960,220,Private room,1.0,2.0,1.0,Real Bed
672,1249776,122,Entire home/apt,1.0,1.0,1.0,Real Bed
673,1252546,95,Entire home/apt,2.0,3.0,1.0,Real Bed
674,1254543,140,Entire home/apt,1.0,2.0,1.0,Real Bed
675,1256454,120,Entire home/apt,2.0,2.0,1.0,Real Bed
676,1263745,190,Entire home/apt,1.0,2.0,1.5,Real Bed
677,1263745,190,Entire home/apt,1.0,2.0,1.5,Real Bed
678,1263745,190,Entire home/apt,1.0,2.0,1.5,Real Bed
679,1263745,210,Entire home/apt,1.0,1.0,1.5,Real Bed
680,1263981,90,Entire home/apt,1.0,2.0,1.0,Real Bed
681,1266717,35,Entire home/apt,7.0,16.0,3.0,Real Bed
682,1266717,129,Entire home/apt,2.0,6.0,1.5,Real Bed
683,1266717,325,Entire home/apt,3.0,3.0,2.0,Real Bed
684,1266717,89,Entire home/apt,2.0,4.0,1.0,Real Bed
685,1266717,99,Entire home/apt,2.0,3.0,1.0,Real Bed
686,1266717,209,Entire home/apt,2.0,4.0,1.5,Real Bed
687,1266717,159,Entire home/apt,2.0,2.0,1.0,Real Bed
688,1266717,79,Entire home/apt,2.0,4.0,1.0,Real Bed
689,1266717,67,Entire home/apt,2.0,3.0,1.0,Real Bed
690,1266717,260,Entire home/apt,2.0,2.0,1.0,Real Bed
691,1266717,119,Entire home/apt,2.0,2.0,1.0,Real Bed
692,1266717,149,Entire home/apt,2.0,3.0,1.0,Real Bed
693,1266717,99,Entire home/apt,2.0,3.0,1.0,Real Bed
694,1266717,89,Entire home/apt,1.0,2.0,1.0,Real Bed
695,1266717,129,Entire home/apt,1.0,2.0,1.0,Real Bed
696,1266717,79,Entire home/apt,1.0,2.0,1.0,Real Bed
697,1266717,99,Entire home/apt,1.0,2.0,1.0,Real Bed
698,1266717,119,Entire home/apt,1.0,2.0,1.0,Real Bed
699,1266717,109,Entire home/apt,1.0,2.0,1.0,Real Bed
700,1266717,104,Entire home/apt,1.0,2.0,1.0,Real Bed
701,1266717,94,Entire home/apt,1.0,2.0,1.0,Real Bed
702,1266717,110,Entire home/apt,1.0,1.0,1.0,Real Bed
703,1266717,99,Entire home/apt,1.0,1.0,1.0,Real Bed
704,1266717,109,Entire home/apt,1.0,1.0,1.0,Real Bed
705,1266717,119,Entire home/apt,1.0,1.0,1.0,Real Bed
706,1266717,139,Entire home/apt,1.0,1.0,1.0,Real Bed
